,Pixel_Intensity_B4,Pixel_Intensity_B3,Pixel_Intensity_B2,IOU,Scores,Class1,Class2,Class3,Class4,Class5,Class6,Cloud_Prob,Date,Fitted,Index,B4_CI,B3_CI,B2_CI,IOU_CI,Scores_CI,Class1_CI,Class2_CI,Class3_CI,Class4_CI,Class5_CI,Class6_CI,Cloud_Prob_CI
58,1320.0,1540.0,1777.0,1.0387176275253296,0.98271996,0.14335264265537262,0.8149971961975098,0.01221028808504343,0.0013808459043502808,0.004913306329399347,0.02314569056034088,5.0,2022-06-26 00:00:00,0,59,0,0,0,0,0,0,0,1,1,1,0,0
59,1410.0,1770.0,1853.0,1.0274707078933716,0.9845934,0.1173766627907753,0.84251868724823,0.01210862398147583,0.001403838861733675,0.0048099118284881115,0.021782230585813522,8.0,2022-06-29 00:00:00,0,60,0,0,0,0,1,1,1,1,1,0,1,0
60,2362.0,2624.0,2793.0,1.040078043937683,0.9829465,0.14595520496368408,0.8122377395629883,0.012213346548378468,0.0013803174952045083,0.004923438653349876,0.023289909586310387,100.0,2022-07-01 00:00:00,0,61,0,0,0,0,0,0,0,1,1,1,0,0
61,1407.0,1782.0,1867.0,1.0274707078933716,0.9845934,0.1173766627907753,0.84251868724823,0.01210862398147583,0.001403838861733675,0.0048099118284881115,0.021782230585813522,92.0,2022-07-04 00:00:00,0,62,0,0,0,0,1,1,1,1,1,0,1,0
62,1476.0,1863.0,1990.0,1.0387353897094729,0.9824916,0.14183081686496735,0.8165907859802246,0.01221093162894249,0.0013826173963025212,0.004908996634185314,0.02307591214776039,98.0,2022-07-06 00:00:00,0,63,0,0,0,0,0,0,0,1,1,1,0,0
63,4387.0,4282.0,4296.0,1.0274707078933716,0.9845934,0.1173766627907753,0.84251868724823,0.01210862398147583,0.001403838861733675,0.0048099118284881115,0.021782230585813522,100.0,2022-07-09 00:00:00,0,64,1,0,1,0,1,1,1,1,1,0,1,0
64,1366.0,1737.0,1805.0,1.0387353897094729,0.9824916,0.14183081686496735,0.8165907859802246,0.01221093162894249,0.0013826173963025212,0.004908996634185314,0.02307591214776039,42.0,2022-07-11 00:00:00,0,65,0,0,0,0,0,0,0,1,1,1,0,0
65,1400.0,1730.0,1832.0,1.0274707078933716,0.9845934,0.1173766627907753,0.84251868724823,0.01210862398147583,0.001403838861733675,0.0048099118284881115,0.021782230585813522,0.0,2022-07-14 00:00:00,0,66,0,0,0,0,1,1,1,1,1,0,1,0
66,8704.0,8090.0,8190.0,1.0300737619400024,0.9826088,0.14270822703838348,0.8156262040138245,0.01221697311848402,0.001385010895319283,0.004915980622172356,0.02314760535955429,2.0,2022-07-16 00:00:00,0,67,0,0,0,1,0,0,0,1,1,1,0,0
67,1311.0,1647.0,1742.0,1.0274707078933716,0.9845934,0.1173766627907753,0.84251868724823,0.01210862398147583,0.001403838861733675,0.0048099118284881115,0.021782230585813522,42.0,2022-07-19 00:00:00,0,68,0,0,0,0,1,1,1,1,1,0,1,0
68,1428.0,1787.0,1910.0,1.0387353897094729,0.9824916,0.14183081686496735,0.8165907859802246,0.01221093162894249,0.0013826173963025212,0.004908996634185314,0.02307591214776039,7.0,2022-07-21 00:00:00,0,69,0,0,0,0,0,0,0,1,1,1,0,0
69,1491.0,1846.0,1996.0,1.0274707078933716,0.9845934,0.1173766627907753,0.84251868724823,0.01210862398147583,0.001403838861733675,0.0048099118284881115,0.021782230585813522,100.0,2022-07-24 00:00:00,0,70,0,0,0,0,1,1,1,1,1,0,1,0
70,3726.0,3786.0,3980.0,1.0273468494415283,0.9819223,0.12932030856609344,0.8298357725143433,0.012154748663306236,0.001390983583405614,0.004862263333052397,0.02243603579699993,100.0,2022-07-26 00:00:00,0,71,1,1,1,0,0,1,1,1,1,1,1,0
71,2279.0,2949.0,3695.0,1.0274707078933716,0.9845934,0.1173766627907753,0.84251868724823,0.01210862398147583,0.001403838861733675,0.0048099118284881115,0.021782230585813522,99.0,2022-07-29 00:00:00,0,72,0,1,1,0,1,1,1,1,1,0,1,0
72,3188.0,3518.0,3859.0,1.0387353897094729,0.9824916,0.14183081686496735,0.8165907859802246,0.01221093162894249,0.0013826173963025212,0.004908996634185314,0.02307591214776039,99.0,2022-07-31 00:00:00,0,73,1,1,1,0,0,0,0,1,1,1,0,0
73,9951.0,9497.0,10054.0,1.0274707078933716,0.9845934,0.1173766627907753,0.84251868724823,0.01210862398147583,0.001403838861733675,0.0048099118284881115,0.021782230585813522,100.0,2022-08-03 00:00:00,0,74,0,0,0,0,1,1,1,1,1,0,1,0
74,1380.0,1575.0,1848.0,1.0300737619400024,0.9826088,0.14270822703838348,0.8156262040138245,0.01221697311848402,0.001385010895319283,0.004915980622172356,0.02314760535955429,9.0,2022-08-05 00:00:00,0,75,0,0,0,1,0,0,0,1,1,1,0,0
75,1338.0,1641.0,1768.0,1.0274707078933716,0.9845934,0.1173766627907753,0.84251868724823,0.01210862398147583,0.001403838861733675,0.0048099118284881115,0.021782230585813522,100.0,2022-08-08 00:00:00,0,76,0,0,0,0,1,1,1,1,1,0,1,0
76,1372.0,1706.0,1840.0,1.0386104583740234,0.9827673,0.14875175058841705,0.8092787861824036,0.012225013226270676,0.001381401438266039,0.004933481104671955,0.023429498076438904,100.0,2022-08-10 00:00:00,0,77,0,0,0,0,0,0,0,0,1,1,0,0
77,1719.0,2042.0,2189.0,1.0274707078933716,0.9845934,0.1173766627907753,0.84251868724823,0.01210862398147583,0.001403838861733675,0.0048099118284881115,0.021782230585813522,1.0,2022-08-13 00:00:00,0,78,0,0,0,0,1,1,1,1,1,0,1,0
78,1482.0,1788.0,1957.0,1.0387353897094729,0.9824916,0.14183081686496735,0.8165907859802246,0.01221093162894249,0.0013826173963025212,0.004908996634185314,0.02307591214776039,15.0,2022-08-15 00:00:00,0,79,0,0,0,0,0,0,0,1,1,1,0,0
79,5416.0,5104.0,5352.0,1.0274707078933716,0.9845934,0.1173766627907753,0.84251868724823,0.01210862398147583,0.001403838861733675,0.0048099118284881115,0.021782230585813522,9.0,2022-08-18 00:00:00,0,80,0,0,0,0,1,1,1,1,1,0,1,0
80,9322.0,8916.0,9506.0,1.040078043937683,0.9829465,0.14595520496368408,0.8122377395629883,0.012213346548378468,0.0013803174952045083,0.004923438653349876,0.023289909586310387,6.0,2022-08-20 00:00:00,0,81,0,0,0,0,0,0,0,1,1,1,0,0
81,5638.0,5109.0,5000.0,1.0274707078933716,0.9845934,0.1173766627907753,0.84251868724823,0.01210862398147583,0.001403838861733675,0.0048099118284881115,0.021782230585813522,14.0,2022-08-23 00:00:00,0,82,0,0,0,0,1,1,1,1,1,0,1,0
82,1855.0,2105.0,2284.0,1.040078043937683,0.9829465,0.14595520496368408,0.8122377395629883,0.012213346548378468,0.0013803174952045083,0.004923438653349876,0.023289909586310387,9.0,2022-08-25 00:00:00,0,83,0,0,0,0,0,0,0,1,1,1,0,0
83,6928.0,6822.0,7165.0,1.0274707078933716,0.9845934,0.1173766627907753,0.84251868724823,0.01210862398147583,0.001403838861733675,0.0048099118284881115,0.021782230585813522,5.0,2022-08-28 00:00:00,0,84,0,0,0,0,1,1,1,1,1,0,1,0
84,1432.0,1740.0,1928.0,1.0382362604141235,0.9830332,0.14588961005210876,0.8123062252998352,0.012210661545395851,0.0013804418267682195,0.0049234009347856045,0.023289674893021584,95.0,2022-08-30 00:00:00,0,85,0,0,0,0,0,0,0,1,1,1,0,0
85,9218.0,8717.0,9090.0,1.0274707078933716,0.9845934,0.1173766627907753,0.84251868724823,0.01210862398147583,0.001403838861733675,0.0048099118284881115,0.021782230585813522,12.0,2022-09-02 00:00:00,0,86,0,0,0,0,1,1,1,1,1,0,1,0
86,2462.0,2632.0,2855.0,1.0360924005508425,0.9827026,0.14458471536636353,0.8136547207832336,0.012219332158565521,0.001383143593557179,0.004921655636280775,0.023236364126205444,96.0,2022-09-04 00:00:00,0,87,0,0,0,0,0,0,0,1,1,1,0,0
87,1419.0,1715.0,1850.0,1.0274707078933716,0.9845934,0.1173766627907753,0.84251868724823,0.01210862398147583,0.001403838861733675,0.0048099118284881115,0.021782230585813522,5.0,2022-09-07 00:00:00,0,88,0,0,0,0,1,1,1,1,1,0,1,0
